what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413278725392
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1413278729199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413278735596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413278736673
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1413278741219
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.publish",1413278743980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413278744354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413278744604
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1413278744604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413278745197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413278823725
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1413278826853
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1413278829798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413278833499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1413278834465
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.active.elements",1413278835182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413278836153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413278838152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413278851457
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1413278854050
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413278858336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1413278859280
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.active.elements",1413278859906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413278861810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413278861831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413278861848
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1413278863413
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.publish",1413278865761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413278866096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413278866331
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1413278866335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413278866790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413278873315
