what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414754516723
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414754523645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414754536619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414754539726
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414754543959
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1414754546590
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1414754546706
error,log,,,"Port 8009 required by Tomcat v6.0 Server at localhost is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1414754549290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414754549314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414754550811
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414754554103
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414754555497
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414754559132
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414754561478
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1414754563615
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414754564208
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414754565987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414754568810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414754571135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414754572305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414754626821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414754627944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414754711285
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414754713439
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1414754713533
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414754713533
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414754715871
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1414754717026
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414754717432
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414754718511
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414754718573
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414754723332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414754726765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414754729613
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1414754731672
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414754731953
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414754756148
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414754758114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414754822472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414754823315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414754824984
