what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1408684343128
java.vm.specification.version,sysinfo,,,"1.7",1408684343128
java.vm.vendor,sysinfo,,,"Oracle Corporation",1408684343128
java.vm.version,sysinfo,,,"24.65-b04",1408684343128
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1408684344062
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1408684359903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408684374316
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1408684383103
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1408684383117
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1408684383161
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1408684383169
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1408684383230
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1408684383237
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1408684383246
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1408684383252
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1408684383253
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1408684383284
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1408684383287
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1408684383331
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1408684383336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408684383654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408684390741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1408684395112
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1408684395457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1408684395689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1408684399509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408684421387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408684423465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408684427270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408684429616
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1408684429625
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408684430763
activated,editor,org.codehaus.groovy.eclipse.ui,2.9.0.xx-201407151439-e37-RELEASE,"org.codehaus.groovy.eclipse.editor.GroovyEditor",1408684433745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408684459070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408684709587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408684742739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408685414396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408685416165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408685455099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408685456032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408686229610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408686229750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408686230936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408686230967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408686232543
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408686232652
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1408686232792
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1408686232995
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1408686232995
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1408686232995
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1408689633228
